noise_type,noise_name,class_name,correct,wrong,total,accuracy
intermittent,white_noise,four,4,96,100,0.04
intermittent,white_noise,go,0,100,100,0.0
intermittent,white_noise,happy,0,100,100,0.0
intermittent,white_noise,house,5,95,100,0.05
intermittent,white_noise,learn,3,97,100,0.03
intermittent,white_noise,left,8,92,100,0.08
intermittent,white_noise,marvin,0,100,100,0.0
intermittent,white_noise,nine,9,91,100,0.09
intermittent,white_noise,no,2,98,100,0.02
intermittent,white_noise,off,36,64,100,0.36
intermittent,white_noise,on,5,95,100,0.05
intermittent,white_noise,one,0,100,100,0.0
intermittent,white_noise,right,13,87,100,0.13
intermittent,white_noise,seven,7,93,100,0.07
intermittent,white_noise,sheila,1,99,100,0.01
intermittent,white_noise,six,92,8,100,0.92
intermittent,white_noise,stop,8,92,100,0.08
intermittent,white_noise,three,14,86,100,0.14
intermittent,white_noise,tree,1,99,100,0.01
intermittent,white_noise,two,4,96,100,0.04
intermittent,white_noise,up,5,95,100,0.05
intermittent,white_noise,visual,10,90,100,0.1
intermittent,white_noise,wow,2,98,100,0.02
intermittent,white_noise,yes,5,95,100,0.05
intermittent,white_noise,zero,22,78,100,0.22
